Numéro notice,Titre,Titre Article,Auteurs,Auteurs collectifs,Collection,Volume,Numéro,Date,DateDébut,DateFin,Édition,Collation,Éditeur,Lieu,Notes,Régions,Sujets
0001,Égalité,Journaliste acadien ou Acadien journaliste?,"CORMIER, Michel",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 13-18,,,,Acadie,Sociologie|Médias
0002,Égalité,Journalisme et engagement politique : tout le monde ne peut être pompier,"LESAGE, Gilles",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 19-23,,,,Acadie,Sociologie|Médias
0003,Égalité,Entre la culpabilité et l'espoir,"RAINVILLE, Maurice",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 25-38,,,,Acadie,Sociologie|Médias
0004,Égalité,Survol de deux thèses de doctorat sur les médias en Acadie,"CAISSIE, Jean-Pierre",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 39-47,,,,Acadie,Sociologie|Médias
0005,Égalité,Radio-Canada : un média privilégié?,"BASTARACHE, Michel",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 49-62,,,,Acadie,Sociologie|Médias
0006,Égalité,Journalisme et institutions politiques au Nouveau-Brunswick,"SAVOIE, Eldred",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 63-79,,,,Acadie,Sociologie|Médias|Politique|Administration
0007,Égalité,Journalisme et militantisme,"NADEAU, Jean-Marie",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 81-90,,,,Acadie,Sociologie|Médias|Politique|Nationalisme
0008,Égalité,Concepts pour une société en mutation : la situation des jeunes adultes francophones du Nouveau-Brunswick ayant vécu en foyer d'accueil,"ST-PIERRE, Marcelle",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 97-119,,,,Acadie,Sociologie|Solidarité|Populations|Jeunes
0009,Égalité,"Les communautés du sud-est du Nouveau-Brunswick : vitalité, dépendance et développement","LARMARCHE, Rodolphe|ARSENEAULT, Samuel|GAGNON, Suzanne",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 123-135,,,,Acadie,Géographie|Population
0010,Égalité,Recherche sans frontière : nomadisme et connaissance,"BACCOUCHE, Nasser",,,,39-40,1996,1996-01-01,1996-12-31,,pp. 139-165,,,,Acadie,Sociologie|Identité
